Volume_pre,Volume_post,Unnamed: 2,Distance,Nearest Label,isFusion,Frame,Label,algo_output,ground truth
0.30603926,1.224157039,3,15.97654531,8,1,24,31,1,1
2.869118061,3.978510377,0.386666667,7.340420817,58,1,24,31,1,1
4.475824175,4.934883064,0.102564103,16.07335212,19,1,24,31,1,1
5.240922324,2.563078801,-0.510948905,1.559518761,52,1,24,31,1,1
5.814745936,5.546961584,-0.046052632,4.91369298,36,1,24,31,1,1
4.322804545,0,-1,0.99380799,31,1,25,31,0,0
0.420803982,0,-1,2.637930569,25,1,25,31,0,0
1.224157039,0,-1,9.124143795,8,1,25,31,0,0
2.563078801,0,-1,7.923461996,52,1,25,31,0,0
3.978510377,0,-1,7.231408523,58,1,25,31,0,0
4.934883064,0,-1,8.435273923,19,1,25,31,0,0
5.546961584,0,-1,8.209075341,36,1,25,31,0,0
2.410059171,1.415431577,-0.412698413,6.936707708,249,1,0,249,1,1
0.267784352,0,-1,6.32455532,258,1,0,249,1,1
0.382549075,0,-1,1.004987562,263,1,0,249,1,1
0.726843242,0,-1,7.311433766,247,1,0,249,1,1
0.76509815,0,-1,6.005206075,245,1,0,249,1,1
2.295294449,2.142274819,-0.066666667,6.586370607,234,1,0,249,1,1
2.563078801,5.087902694,0.985074627,5.135391247,260,1,0,249,1,1
1.415431577,0,-1,3.649549438,249,1,1,249,0,0
2.142274819,0,-1,4.735896967,234,1,1,249,0,0
2.448314078,8.530844367,2.484375,3.087272259,246,1,1,249,0,0
5.087902694,0,-1,5.748699303,260,1,1,249,0,0
9.142922887,11.39996243,0.246861925,12.64615612,215,1,1,249,0,0
0.497313797,6.503334271,12.07692308,1.459512766,249,1,4,249,1,1
0.382549075,0.229529445,-0.4,9.394147114,263,1,4,249,1,1
1.185902132,0,-1,8.567355704,258,1,4,249,1,1
2.907372968,0,-1,11.30916775,260,1,4,249,1,1
5.355687047,0,-1,11.97134333,246,1,4,249,1,1
6.503334271,0,-1,3.536216984,249,1,5,249,0,0
0.229529445,0,-1,10.5,263,1,5,249,0,0
0.61207852,0.688588335,0.125,4.052873209,247,1,5,249,0,0
0.61207852,0,-1,17.65021246,252,1,5,249,0,0
0.841607964,8.569099275,9.181818182,4.143472861,234,1,5,249,0,0
2.371804264,0,-1,1.052844124,244,1,5,249,0,0
5.508706677,12.24157039,1.222222222,2.915475947,206,1,5,249,0,0
14.8429041,26.89319996,0.81185567,4.79780016,215,1,5,249,0,0
1.224157039,2.639588616,1.15625,3.031894261,249,1,7,249,1,1
0.497313797,0,-1,1.688807569,260,1,7,249,1,1
0.61207852,0.45905889,-0.25,9.414500119,258,1,7,249,1,1
1.071137409,0.30603926,-0.714285714,4.610602245,234,1,7,249,1,1
2.486568986,0,-1,7.977082559,244,1,7,249,1,1
14.76639429,39.47906452,1.67357513,7.287620354,206,1,7,249,1,1
2.639588616,0,-1,4.024969326,249,1,8,249,0,0
0.30603926,0.535568705,0.75,2.298097039,234,1,8,249,0,0
0.45905889,0,-1,11.8163023,258,1,8,249,0,0
0.803353057,1.912745374,1.380952381,10.1625117,245,1,8,249,0,0
10.55835446,35.27102469,2.34057971,13.62461824,215,1,8,249,0,0
39.47906452,13.19794308,-0.665697674,6.699171048,206,1,8,249,0,0
