Frames that have non-zero fusion/fission events (chunk-based):
Frame 372: Fussion_2 = 0, Fussion_1 = 1, Fission = 1
Frame 373: Fussion_2 = 4, Fussion_1 = 0, Fission = 5
Frame 374: Fussion_2 = 0, Fussion_1 = 2, Fission = 1
Frame 375: Fussion_2 = 4, Fussion_1 = 3, Fission = 10
Frame 376: Fussion_2 = 4, Fussion_1 = 2, Fission = 3
Frame 377: Fussion_2 = 5, Fussion_1 = 0, Fission = 6
Frame 378: Fussion_2 = 5, Fussion_1 = 3, Fission = 7
Frame 379: Fussion_2 = 2, Fussion_1 = 1, Fission = 4
Frame 380: Fussion_2 = 3, Fussion_1 = 4, Fission = 6
Frame 381: Fussion_2 = 2, Fussion_1 = 1, Fission = 3
Frame 382: Fussion_2 = 3, Fussion_1 = 2, Fission = 5
Frame 383: Fussion_2 = 3, Fussion_1 = 1, Fission = 5
Frame 384: Fussion_2 = 3, Fussion_1 = 2, Fission = 9
Frame 385: Fussion_2 = 4, Fussion_1 = 4, Fission = 5
Frame 386: Fussion_2 = 2, Fussion_1 = 3, Fission = 3
Frame 387: Fussion_2 = 1, Fussion_1 = 2, Fission = 4
Frame 388: Fussion_2 = 4, Fussion_1 = 0, Fission = 3
Frame 389: Fussion_2 = 0, Fussion_1 = 3, Fission = 4
Frame 390: Fussion_2 = 2, Fussion_1 = 1, Fission = 4
Frame 391: Fussion_2 = 4, Fussion_1 = 1, Fission = 3
Frame 392: Fussion_2 = 3, Fussion_1 = 1, Fission = 4
Frame 393: Fussion_2 = 4, Fussion_1 = 0, Fission = 4
Frame 394: Fussion_2 = 5, Fussion_1 = 1, Fission = 6
Frame 395: Fussion_2 = 4, Fussion_1 = 3, Fission = 9
Frame 396: Fussion_2 = 5, Fussion_1 = 1, Fission = 4
Frame 397: Fussion_2 = 7, Fussion_1 = 0, Fission = 8
Frame 398: Fussion_2 = 1, Fussion_1 = 3, Fission = 4
