Frames that have non-zero fusion/fission events (chunk-based):
Frame 202: Fussion_2 = 3, Fussion_1 = 4, Fission = 7
Frame 203: Fussion_2 = 1, Fussion_1 = 3, Fission = 3
Frame 204: Fussion_2 = 1, Fussion_1 = 4, Fission = 5
Frame 205: Fussion_2 = 0, Fussion_1 = 4, Fission = 4
Frame 206: Fussion_2 = 2, Fussion_1 = 3, Fission = 5
Frame 207: Fussion_2 = 0, Fussion_1 = 1, Fission = 1
Frame 208: Fussion_2 = 0, Fussion_1 = 2, Fission = 2
Frame 209: Fussion_2 = 2, Fussion_1 = 1, Fission = 3
Frame 210: Fussion_2 = 1, Fussion_1 = 3, Fission = 3
Frame 211: Fussion_2 = 1, Fussion_1 = 3, Fission = 3
Frame 212: Fussion_2 = 1, Fussion_1 = 2, Fission = 4
Frame 213: Fussion_2 = 0, Fussion_1 = 2, Fission = 2
Frame 214: Fussion_2 = 2, Fussion_1 = 0, Fission = 3
Frame 215: Fussion_2 = 0, Fussion_1 = 5, Fission = 5
Frame 216: Fussion_2 = 0, Fussion_1 = 7, Fission = 8
Frame 217: Fussion_2 = 3, Fussion_1 = 1, Fission = 5
Frame 218: Fussion_2 = 1, Fussion_1 = 3, Fission = 5
Frame 219: Fussion_2 = 0, Fussion_1 = 2, Fission = 1
Frame 220: Fussion_2 = 0, Fussion_1 = 5, Fission = 4
Frame 221: Fussion_2 = 4, Fussion_1 = 1, Fission = 6
Frame 222: Fussion_2 = 2, Fussion_1 = 3, Fission = 5
Frame 223: Fussion_2 = 1, Fussion_1 = 4, Fission = 6
Frame 224: Fussion_2 = 2, Fussion_1 = 5, Fission = 8
Frame 225: Fussion_2 = 2, Fussion_1 = 2, Fission = 5
Frame 226: Fussion_2 = 2, Fussion_1 = 4, Fission = 6
Frame 227: Fussion_2 = 3, Fussion_1 = 1, Fission = 5
Frame 228: Fussion_2 = 1, Fussion_1 = 1, Fission = 1
Frame 229: Fussion_2 = 0, Fussion_1 = 7, Fission = 8
Frame 230: Fussion_2 = 2, Fussion_1 = 2, Fission = 5
Frame 231: Fussion_2 = 2, Fussion_1 = 1, Fission = 3
Frame 232: Fussion_2 = 1, Fussion_1 = 4, Fission = 5
Frame 233: Fussion_2 = 1, Fussion_1 = 2, Fission = 5
Frame 234: Fussion_2 = 2, Fussion_1 = 5, Fission = 5
Frame 235: Fussion_2 = 2, Fussion_1 = 5, Fission = 5
Frame 236: Fussion_2 = 2, Fussion_1 = 4, Fission = 7
Frame 237: Fussion_2 = 5, Fussion_1 = 1, Fission = 6
Frame 238: Fussion_2 = 3, Fussion_1 = 4, Fission = 7
Frame 239: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 240: Fussion_2 = 4, Fussion_1 = 2, Fission = 6
Frame 241: Fussion_2 = 4, Fussion_1 = 4, Fission = 7
Frame 242: Fussion_2 = 2, Fussion_1 = 2, Fission = 5
Frame 243: Fussion_2 = 2, Fussion_1 = 3, Fission = 7
Frame 244: Fussion_2 = 0, Fussion_1 = 3, Fission = 1
Frame 245: Fussion_2 = 1, Fussion_1 = 2, Fission = 4
Frame 246: Fussion_2 = 0, Fussion_1 = 3, Fission = 3
Frame 247: Fussion_2 = 0, Fussion_1 = 1, Fission = 2
Frame 248: Fussion_2 = 1, Fussion_1 = 3, Fission = 3
Frame 249: Fussion_2 = 1, Fussion_1 = 4, Fission = 7
Frame 250: Fussion_2 = 2, Fussion_1 = 5, Fission = 6
Frame 251: Fussion_2 = 3, Fussion_1 = 4, Fission = 7
Frame 252: Fussion_2 = 3, Fussion_1 = 1, Fission = 3
Frame 253: Fussion_2 = 1, Fussion_1 = 4, Fission = 6
Frame 254: Fussion_2 = 3, Fussion_1 = 3, Fission = 4
Frame 255: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 256: Fussion_2 = 2, Fussion_1 = 0, Fission = 3
Frame 257: Fussion_2 = 4, Fussion_1 = 3, Fission = 7
Frame 258: Fussion_2 = 0, Fussion_1 = 4, Fission = 5
Frame 259: Fussion_2 = 3, Fussion_1 = 5, Fission = 7
Frame 260: Fussion_2 = 3, Fussion_1 = 4, Fission = 5
Frame 261: Fussion_2 = 1, Fussion_1 = 2, Fission = 4
Frame 262: Fussion_2 = 0, Fussion_1 = 3, Fission = 3
Frame 263: Fussion_2 = 1, Fussion_1 = 6, Fission = 8
Frame 264: Fussion_2 = 1, Fussion_1 = 2, Fission = 3
Frame 265: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 266: Fussion_2 = 3, Fussion_1 = 4, Fission = 6
Frame 267: Fussion_2 = 3, Fussion_1 = 2, Fission = 6
Frame 268: Fussion_2 = 1, Fussion_1 = 4, Fission = 4
Frame 269: Fussion_2 = 1, Fussion_1 = 0, Fission = 2
Frame 270: Fussion_2 = 5, Fussion_1 = 4, Fission = 8
Frame 271: Fussion_2 = 2, Fussion_1 = 6, Fission = 7
Frame 272: Fussion_2 = 0, Fussion_1 = 4, Fission = 4
Frame 273: Fussion_2 = 6, Fussion_1 = 2, Fission = 8
Frame 274: Fussion_2 = 3, Fussion_1 = 1, Fission = 5
Frame 275: Fussion_2 = 1, Fussion_1 = 2, Fission = 3
Frame 276: Fussion_2 = 2, Fussion_1 = 2, Fission = 5
Frame 277: Fussion_2 = 2, Fussion_1 = 4, Fission = 5
Frame 278: Fussion_2 = 4, Fussion_1 = 2, Fission = 7
Frame 279: Fussion_2 = 3, Fussion_1 = 0, Fission = 3
Frame 280: Fussion_2 = 1, Fussion_1 = 1, Fission = 3
Frame 281: Fussion_2 = 3, Fussion_1 = 3, Fission = 6
Frame 282: Fussion_2 = 0, Fussion_1 = 5, Fission = 5
Frame 283: Fussion_2 = 4, Fussion_1 = 6, Fission = 9
Frame 284: Fussion_2 = 0, Fussion_1 = 5, Fission = 11
Frame 285: Fussion_2 = 4, Fussion_1 = 4, Fission = 8
Frame 286: Fussion_2 = 5, Fussion_1 = 3, Fission = 6
Frame 287: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 289: Fussion_2 = 3, Fussion_1 = 3, Fission = 7
Frame 290: Fussion_2 = 4, Fussion_1 = 3, Fission = 6
Frame 291: Fussion_2 = 1, Fussion_1 = 1, Fission = 2
Frame 292: Fussion_2 = 1, Fussion_1 = 4, Fission = 6
Frame 293: Fussion_2 = 0, Fussion_1 = 1, Fission = 2
Frame 294: Fussion_2 = 0, Fussion_1 = 9, Fission = 10
Frame 295: Fussion_2 = 2, Fussion_1 = 3, Fission = 4
Frame 296: Fussion_2 = 3, Fussion_1 = 2, Fission = 7
Frame 297: Fussion_2 = 2, Fussion_1 = 3, Fission = 4
Frame 298: Fussion_2 = 1, Fussion_1 = 4, Fission = 4
Frame 299: Fussion_2 = 4, Fussion_1 = 2, Fission = 6
Frame 300: Fussion_2 = 0, Fussion_1 = 2, Fission = 2
Frame 301: Fussion_2 = 3, Fussion_1 = 4, Fission = 5
Frame 302: Fussion_2 = 3, Fussion_1 = 0, Fission = 3
Frame 303: Fussion_2 = 2, Fussion_1 = 1, Fission = 4
Frame 304: Fussion_2 = 4, Fussion_1 = 1, Fission = 6
Frame 305: Fussion_2 = 3, Fussion_1 = 6, Fission = 8
Frame 306: Fussion_2 = 0, Fussion_1 = 2, Fission = 3
Frame 307: Fussion_2 = 2, Fussion_1 = 6, Fission = 7
Frame 308: Fussion_2 = 0, Fussion_1 = 2, Fission = 3
Frame 309: Fussion_2 = 2, Fussion_1 = 2, Fission = 3
Frame 310: Fussion_2 = 3, Fussion_1 = 5, Fission = 8
Frame 311: Fussion_2 = 1, Fussion_1 = 2, Fission = 5
Frame 312: Fussion_2 = 4, Fussion_1 = 2, Fission = 4
Frame 313: Fussion_2 = 1, Fussion_1 = 5, Fission = 7
Frame 314: Fussion_2 = 1, Fussion_1 = 2, Fission = 3
Frame 315: Fussion_2 = 1, Fussion_1 = 2, Fission = 4
Frame 316: Fussion_2 = 2, Fussion_1 = 5, Fission = 7
Frame 317: Fussion_2 = 3, Fussion_1 = 2, Fission = 5
Frame 318: Fussion_2 = 4, Fussion_1 = 5, Fission = 7
Frame 319: Fussion_2 = 3, Fussion_1 = 5, Fission = 7
Frame 320: Fussion_2 = 2, Fussion_1 = 5, Fission = 8
Frame 321: Fussion_2 = 4, Fussion_1 = 3, Fission = 7
Frame 322: Fussion_2 = 2, Fussion_1 = 5, Fission = 6
Frame 323: Fussion_2 = 3, Fussion_1 = 0, Fission = 4
Frame 324: Fussion_2 = 0, Fussion_1 = 2, Fission = 4
Frame 325: Fussion_2 = 3, Fussion_1 = 5, Fission = 8
Frame 326: Fussion_2 = 2, Fussion_1 = 3, Fission = 7
Frame 327: Fussion_2 = 1, Fussion_1 = 3, Fission = 3
Frame 328: Fussion_2 = 1, Fussion_1 = 2, Fission = 3
Frame 329: Fussion_2 = 0, Fussion_1 = 3, Fission = 4
Frame 330: Fussion_2 = 1, Fussion_1 = 2, Fission = 4
Frame 331: Fussion_2 = 4, Fussion_1 = 2, Fission = 5
Frame 332: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 333: Fussion_2 = 2, Fussion_1 = 6, Fission = 8
Frame 334: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 335: Fussion_2 = 4, Fussion_1 = 2, Fission = 6
Frame 336: Fussion_2 = 1, Fussion_1 = 3, Fission = 2
Frame 337: Fussion_2 = 2, Fussion_1 = 0, Fission = 2
Frame 338: Fussion_2 = 3, Fussion_1 = 1, Fission = 4
Frame 339: Fussion_2 = 6, Fussion_1 = 5, Fission = 11
Frame 341: Fussion_2 = 4, Fussion_1 = 5, Fission = 8
Frame 342: Fussion_2 = 0, Fussion_1 = 4, Fission = 4
Frame 343: Fussion_2 = 0, Fussion_1 = 2, Fission = 2
Frame 344: Fussion_2 = 2, Fussion_1 = 5, Fission = 7
Frame 345: Fussion_2 = 2, Fussion_1 = 2, Fission = 4
Frame 346: Fussion_2 = 1, Fussion_1 = 4, Fission = 4
Frame 347: Fussion_2 = 1, Fussion_1 = 4, Fission = 5
Frame 348: Fussion_2 = 1, Fussion_1 = 3, Fission = 5
Frame 349: Fussion_2 = 2, Fussion_1 = 3, Fission = 5
